Timestamp,Time_Seconds,LoadCell1_Raw,LoadCell1_Delta,LoadCell2_Raw,LoadCell2_Delta
2026-02-15 14:43:17.977,0.000,-569047,11223,-570591,4440
2026-02-15 14:43:18.171,0.193,-573136,7134,-581886,-6856
2026-02-15 14:43:18.364,0.386,-597961,-17691,-559308,15722
2026-02-15 14:43:18.557,0.580,-566688,13582,-568707,6323
2026-02-15 14:43:18.750,0.773,-572471,7799,-580581,-5550
2026-02-15 14:43:18.943,0.966,-555808,24462,-723452,-148422
2026-02-15 14:43:19.136,1.159,-573154,7116,-565777,9254
2026-02-15 14:43:19.330,1.352,-574749,5521,-553301,21729
2026-02-15 14:43:19.523,1.546,-574479,5791,-577659,-2628
2026-02-15 14:43:19.716,1.739,-585336,-5066,-576363,-1332
2026-02-15 14:43:19.910,1.932,-580001,269,-573685,1345
2026-02-15 14:43:20.103,2.125,-548195,32075,-578971,-3940
2026-02-15 14:43:20.296,2.319,-545646,34624,-575525,-494
2026-02-15 14:43:20.489,2.512,-575386,4884,-568293,6738
2026-02-15 14:43:20.682,2.705,-550466,29804,-583954,-8923
2026-02-15 14:43:20.875,2.898,-554467,25803,-579256,-4226
2026-02-15 14:43:21.068,3.091,-581326,-1056,-566759,8272
2026-02-15 14:43:21.262,3.284,-573307,6963,-558000,17030
2026-02-15 14:43:21.455,3.477,-591846,-11576,-576833,-1802
2026-02-15 14:43:21.648,3.671,-563336,16934,-566286,8745
2026-02-15 14:43:21.842,3.864,-560732,19538,-595252,-20221
2026-02-15 14:43:22.035,4.058,-586062,-5792,-572155,2876
2026-02-15 14:43:22.228,4.251,-588904,-8634,-577136,-2106
2026-02-15 14:43:22.422,4.444,-568247,12023,-608941,-33910
2026-02-15 14:43:22.615,4.638,-560734,19536,-582766,-7736
2026-02-15 14:43:22.808,4.831,-1331972,-751702,-4266071,-3691040
2026-02-15 14:43:23.002,5.024,-566654,13616,619564,1194594
2026-02-15 14:43:23.195,5.217,-2390464,-1810194,-582839,-7808
2026-02-15 14:43:23.388,5.411,-578412,1858,-562862,12168
2026-02-15 14:43:23.581,5.604,-596133,-15863,-590625,-15595
2026-02-15 14:43:23.775,5.797,-602693,-22423,-573357,1674
2026-02-15 14:43:23.977,5.992,-567175,13095,-569934,5097
2026-02-15 14:43:24.170,6.193,-578744,1526,-576315,-1284
2026-02-15 14:43:24.363,6.386,-260463,319807,-567754,7277
2026-02-15 14:43:24.556,6.579,-573769,6501,-3309609,-2734578
2026-02-15 14:43:24.749,6.772,-6086711,-5506441,-6077266,-5502235
2026-02-15 14:43:24.943,6.965,-6058784,-5478514,-6089077,-5514046
2026-02-15 14:43:25.136,7.158,-6068289,-5488019,-6053452,-5478422
2026-02-15 14:43:25.329,7.351,-6071581,-5491311,-6071369,-5496338
2026-02-15 14:43:25.522,7.545,-6069792,-5489522,-6060476,-5485446
2026-02-15 14:43:25.715,7.738,-6060672,-5480402,-6064064,-5489034
2026-02-15 14:43:25.908,7.931,-6072842,-5492572,-6084451,-5509420
2026-02-15 14:43:26.101,8.124,-6062224,-5481954,-6065694,-5490663
2026-02-15 14:43:26.294,8.317,-6065199,-5484929,-6072275,-5497244
2026-02-15 14:43:26.487,8.510,-6062722,-5482452,-6075578,-5500548
2026-02-15 14:43:26.680,8.703,-6055203,-5474933,-6046718,-5471687
2026-02-15 14:43:26.873,8.896,-6069204,-5488934,-6066253,-5491223
2026-02-15 14:43:27.066,9.089,-6069657,-5489387,-6064398,-5489367
2026-02-15 14:43:27.259,9.282,-6059926,-5479656,-6054334,-5479303
2026-02-15 14:43:27.452,9.475,-6060279,-5480009,-6071835,-5496804
2026-02-15 14:43:27.646,9.668,-6069749,-5489479,-6068052,-5493021
2026-02-15 14:43:27.839,9.861,-6081968,-5501698,-6058819,-5483788
2026-02-15 14:43:28.032,10.054,-6069825,-5489555,-6077571,-5502540
2026-02-15 14:43:28.225,10.248,-6065060,-5484790,-6062955,-5487924
2026-02-15 14:43:28.418,10.441,-6066211,-5485941,-6064144,-5489113
2026-02-15 14:43:28.611,10.634,-6068496,-5488226,-6088496,-5513465
2026-02-15 14:43:28.804,10.827,-6061781,-5481511,-6068711,-5493680
2026-02-15 14:43:28.997,11.020,-2273256,-1692986,1574419,2149450
2026-02-15 14:43:29.190,11.213,-6057640,-5477370,-2246074,-1671043
2026-02-15 14:43:29.384,11.406,-2250656,-1670386,1565415,2140445
2026-02-15 14:43:29.577,11.600,-2247481,-1667211,1571854,2146885
2026-02-15 14:43:29.770,11.793,-2256010,-1675740,-2241434,-1666403
2026-02-15 14:43:29.964,11.986,-2252154,-1671884,-2260081,-1685050
2026-02-15 14:43:30.157,12.180,-2255999,-1675729,-2235514,-1660484
2026-02-15 14:43:30.350,12.373,-2244621,-1664351,1573340,2148370
2026-02-15 14:43:30.544,12.566,-2257531,-1677261,5381543,5956573
2026-02-15 14:43:30.737,12.760,-2246632,-1666362,-2232938,-1657908
2026-02-15 14:43:30.930,12.953,-6069394,-5489124,1563577,2138608
2026-02-15 14:43:31.124,13.146,-2267880,-1687610,1563130,2138160
2026-02-15 14:43:31.317,13.340,-2242956,-1662686,5376100,5951130
2026-02-15 14:43:31.510,13.533,-2248740,-1668470,-2235270,-1660240
2026-02-15 14:43:31.704,13.726,-2240656,-1660386,-2227393,-1652362
2026-02-15 14:43:31.897,13.920,-2239913,-1659643,1573396,2148427
2026-02-15 14:43:32.090,14.113,-1470465,-890195,1579251,2154282
2026-02-15 14:43:32.284,14.306,-2245242,-1664972,5379761,5954792
2026-02-15 14:43:32.477,14.500,-2241642,-1661372,-2198101,-1623070
2026-02-15 14:43:32.670,14.693,-2256871,-1676601,-6042888,-5467857
2026-02-15 14:43:32.864,14.886,-2244479,-1664209,1577203,2152234
2026-02-15 14:43:33.057,15.079,-2262952,-1682682,1560342,2135373
2026-02-15 14:43:33.250,15.273,-2238544,-1658274,-2197572,-1622541
2026-02-15 14:43:33.443,15.466,-2236496,-1656226,-6036402,-5461371
2026-02-15 14:43:33.637,15.659,-2258037,-1677767,-2193204,-1618173
2026-02-15 14:43:33.830,15.853,-2246450,-1666180,-2261457,-1686426
2026-02-15 14:43:34.023,16.046,-2244476,-1664206,-2226773,-1651742
2026-02-15 14:43:34.217,16.239,-2246030,-1665760,1578605,2153636
2026-02-15 14:43:34.410,16.432,-2242236,-1661966,-2255437,-1680407
2026-02-15 14:43:34.603,16.626,-2252631,-1672361,-2236224,-1661194
2026-02-15 14:43:34.796,16.819,-2245583,-1665313,1574228,2149259
2026-02-15 14:43:34.990,17.012,-6047022,-5466752,5399188,5974219
2026-02-15 14:43:35.183,17.206,-2246862,-1666592,1565981,2141012
2026-02-15 14:43:35.376,17.399,-2248252,-1667982,1575602,2150633
2026-02-15 14:43:35.570,17.592,-2238779,-1658509,-2225377,-1650346
2026-02-15 14:43:35.763,17.785,-2240042,-1659772,-4023230,-3448200
2026-02-15 14:43:35.956,17.979,-2243882,-1663612,-2181846,-1606815
2026-02-15 14:43:36.149,18.172,-2241170,-1660900,1617260,2192290
2026-02-15 14:43:36.343,18.365,-2251580,-1671310,-6025164,-5450133
2026-02-15 14:43:36.537,18.559,-2253810,-1673540,1574484,2149515
2026-02-15 14:43:36.730,18.753,-2249537,-1669267,-2277848,-1702817
2026-02-15 14:43:36.923,18.946,-2267547,-1687277,1567704,2142735
2026-02-15 14:43:37.117,19.139,-2257995,-1677725,-2240454,-1665423
2026-02-15 14:43:37.310,19.332,-2245909,-1665639,-2236166,-1661135
2026-02-15 14:43:37.503,19.526,-2264853,-1684583,5381153,5956183
2026-02-15 14:43:37.696,19.719,-2245944,-1665674,1568570,2143600
2026-02-15 14:43:37.890,19.912,-2253886,-1673616,-2233392,-1658362
2026-02-15 14:43:38.083,20.106,-2253212,-1672942,-2226741,-1651710
2026-02-15 14:43:38.276,20.299,-2247751,-1667481,-6005983,-5430952
2026-02-15 14:43:38.470,20.492,-6083643,-5503373,1564123,2139154
2026-02-15 14:43:38.663,20.686,-2273131,-1692861,1576976,2152007
2026-02-15 14:43:38.856,20.879,-6050773,-5470503,1615020,2190051
2026-02-15 14:43:39.050,21.072,-2258659,-1678389,5397192,5972223
2026-02-15 14:43:39.243,21.266,-2266004,-1685734,-2227250,-1652220
2026-02-15 14:43:39.436,21.459,-2235036,-1654766,1569998,2145029
2026-02-15 14:43:39.630,21.652,-2250474,-1670204,1573633,2148664
2026-02-15 14:43:39.823,21.846,-2257110,-1676840,-2235691,-1660660
2026-02-15 14:43:40.016,22.039,-2244906,-1664636,5365171,5940201
2026-02-15 14:43:40.210,22.232,-2240674,-1660404,-2234580,-1659549
2026-02-15 14:43:40.403,22.425,-2254417,-1674147,-2218133,-1643103
2026-02-15 14:43:40.596,22.619,-2248030,-1667760,1546440,2121470
2026-02-15 14:43:40.790,22.812,-2266580,-1686310,-2226728,-1651698
2026-02-15 14:43:40.983,23.005,-2251975,-1671705,1575049,2150079
2026-02-15 14:43:41.176,23.199,-2244007,-1663737,-2230766,-1655736
2026-02-15 14:43:41.369,23.392,-2239664,-1659394,5381846,5956877
2026-02-15 14:43:41.563,23.585,-2259638,-1679368,1575560,2150591
2026-02-15 14:43:41.756,23.779,-2248454,-1668184,1570787,2145818
2026-02-15 14:43:41.949,23.972,-2236896,-1656626,1574499,2149529
2026-02-15 14:43:42.143,24.165,-2258507,-1678237,1582541,2157572
2026-02-15 14:43:42.336,24.359,-6064518,-5484248,1565676,2140706
2026-02-15 14:43:42.529,24.552,-2254095,-1673825,5374781,5949812
2026-02-15 14:43:42.723,24.745,-1858981,-1278711,-2184894,-1609863
